Domain,Count,Sample URL
www.room-aesthetic.com,1,https://www.room-aesthetic.com/shop-1
maryamnassirzadeh.com,1,https://maryamnassirzadeh.com/
www.carmenamsterdam.com,1,https://www.carmenamsterdam.com/
muyfragilshop.com,1,https://muyfragilshop.com/
bode.com,1,https://bode.com/products/black-leather-house-shoe
violalovely.com,1,https://violalovely.com/password
ceciletulkens.com,1,https://ceciletulkens.com/
sensoria.co,1,https://sensoria.co/
grocerycopenhagen.com,1,https://grocerycopenhagen.com/en-us
hope-sthlm.com,1,https://hope-sthlm.com/en-us/products/wide-leg-jeans-rinsed-black?variant=50551916659017
colbo.nyc,1,https://colbo.nyc/
o-files.com,1,https://o-files.com/
london.doverstreetmarket.com,1,https://london.doverstreetmarket.com/
ifsohonewyork.com,1,https://ifsohonewyork.com/
shopnanin.com,1,https://shopnanin.com/
shopamomento.com,1,https://shopamomento.com/
www.mercari.com,1,https://www.mercari.com/
buyee.jp,1,https://buyee.jp/
www.twoscompany.com,1,https://www.twoscompany.com/
tokio7ny.com,1,https://tokio7ny.com/
www.vonsono.de,1,https://www.vonsono.de/collections/jackets/products/juri-jacket-mud-grey
yuzefi.com,1,https://yuzefi.com/products/large-mochi-truffle-suede?_pos=67&_sid=649478d27&_ss=r&variant=40662010101878
labucq.com,1,https://labucq.com/products/joan-high-boot-caramel-python
deijistudios.com,1,https://deijistudios.com/products/the-ease-trouser-black-1
www.gnuhr.com,1,https://www.gnuhr.com/
topologie.com,1,https://topologie.com/collections/all-crossbody-straps
www.vancleefarpels.com,1,https://www.vancleefarpels.com/us/en/home.html
clutch-cafe.com,1,https://clutch-cafe.com/collections/new-arrivals/products/the-real-mccoys-n-1-deck-jacket-khaki
www.morjas.com,1,https://www.morjas.com/us/
bambourogerkwong.com,1,https://bambourogerkwong.com/
hamishmunro.com,1,https://hamishmunro.com/
www.majkiosk.com,1,https://www.majkiosk.com/
shop.misha-and-puff.com,1,https://shop.misha-and-puff.com/collections/adult-fall-24
ninstudio.org,1,https://ninstudio.org/
unsungweavers.com,1,https://unsungweavers.com/
www.mm-jewelry.de,1,https://www.mm-jewelry.de/
spence.us,1,https://spence.us/
shannon-bond.com,1,https://shannon-bond.com/
www.presleyoldham.com,1,https://www.presleyoldham.com/
www.fluevog.com,1,https://www.fluevog.com/
schostaloriginals.com,1,https://schostaloriginals.com/index.php?route=product/product&path=210&product_id=849
www.ruadh.com,1,https://www.ruadh.com/collections/all
www.loewe.com,1,https://www.loewe.com/usa/en/women/womenswear/blouses-and-tops/pyjama-blouse-in-nappa-lambskin/S359Y31L03-1100.html
calomel.shop,1,https://calomel.shop/
nomia-nyc.com,1,https://nomia-nyc.com/
campbellandkramer.com,1,https://campbellandkramer.com/
www.blluemade.com,1,https://www.blluemade.com/collections/all
www.lorenstewart.com,1,https://www.lorenstewart.com/products/pierced-huggies
lovechild1979.com,1,https://lovechild1979.com/
www.ralphlauren.com,1,https://www.ralphlauren.com/women-clothing-sweaters/wool-turtleneck-sweater/0076298272.html
sourceunknown.com,1,https://sourceunknown.com/products/geva-faded-lambskin-bomber-jacket-brown
maribaudi.com,1,https://maribaudi.com/
bysigne.com,1,https://bysigne.com/
faworldentertainment.com,1,https://faworldentertainment.com/products/ttf-club-shirt
thenew-studio.com,1,https://thenew-studio.com/en-us/products/studded-belt-2
navygrey.co,1,https://navygrey.co/en-us
thesusumu.com,1,https://thesusumu.com/
